token_id,freq,primary_lang,tier,concentration,mse,rel_err,row_norm
155391,1,spa_Latn,high,1.0,3.4884e-06,0.090608,0.932849
87951,1,spa_Latn,high,1.0,3.76393e-06,0.0902756,0.972558
200281,1,spa_Latn,high,1.0,5.07262e-06,0.0955125,1.06714
170567,1,spa_Latn,high,1.0,3.91469e-06,0.097829,0.915263
260813,1,spa_Latn,high,1.0,4.47654e-06,0.0954497,1.00314
4704,1,spa_Latn,high,1.0,1.05129e-05,0.0945177,1.55244
152319,1,spa_Latn,high,1.0,4.58191e-06,0.0925416,1.04677
151252,1,spa_Latn,high,1.0,4.11734e-06,0.0921046,0.996993
162809,1,spa_Latn,high,1.0,8.26306e-06,0.0940343,1.3834
88775,1,spa_Latn,high,1.0,4.09664e-06,0.0909221,1.00742
192240,1,spa_Latn,high,1.0,1.20517e-05,0.0940808,1.66989
85239,1,spa_Latn,high,1.0,9.39068e-06,0.0937334,1.47951
119934,1,spa_Latn,high,1.0,1.17059e-05,0.0949772,1.63023
59974,1,spa_Latn,high,1.0,9.34136e-06,0.093919,1.47271
42189,1,spa_Latn,high,1.0,1.5117e-05,0.0915947,1.921
2611,1,spa_Latn,high,1.0,3.06039e-05,0.103242,2.42491
70355,1,spa_Latn,high,1.0,7.6022e-06,0.0917464,1.36002
133776,1,spa_Latn,high,1.0,1.29309e-05,0.09613,1.69286
14157,1,spa_Latn,high,1.0,7.32122e-06,0.0920798,1.32982
210389,1,spa_Latn,high,1.0,5.05481e-06,0.0938172,1.08451
49955,1,spa_Latn,high,1.0,4.19984e-06,0.0908246,1.02112
175828,1,spa_Latn,high,1.0,6.56394e-06,0.0915524,1.26642
5289,1,spa_Latn,high,1.0,1.96445e-05,0.0942835,2.1274
7767,1,spa_Latn,high,1.0,1.31369e-05,0.0929255,1.76513
224779,1,spa_Latn,high,1.0,4.39411e-06,0.094839,1.00026
62828,1,spa_Latn,high,1.0,7.04537e-06,0.090514,1.32709
44626,1,spa_Latn,high,1.0,8.70673e-06,0.0961837,1.38832
40666,1,spa_Latn,high,1.0,5.71232e-06,0.0918775,1.17723
29827,1,spa_Latn,high,1.0,1.14903e-05,0.0931104,1.64753
132094,1,spa_Latn,high,1.0,6.22293e-06,0.0941692,1.19882
90752,1,spa_Latn,high,1.0,5.30867e-06,0.0931334,1.11957
217465,1,spa_Latn,high,1.0,3.81036e-06,0.0886169,0.996854
64837,1,spa_Latn,high,1.0,6.21908e-06,0.0924671,1.22051
22987,1,spa_Latn,high,1.0,1.14988e-05,0.0930631,1.64897
146335,1,spa_Latn,high,1.0,4.27621e-06,0.0932207,1.00388
239609,1,spa_Latn,high,1.0,5.35501e-06,0.0943408,1.11006
132597,1,spa_Latn,high,1.0,8.48197e-06,0.0932,1.41416
165957,1,spa_Latn,high,1.0,5.85867e-06,0.0922967,1.1868
190480,1,spa_Latn,high,1.0,5.32297e-06,0.0943831,1.10624
176204,1,spa_Latn,high,1.0,4.22962e-06,0.0959914,0.969579
211964,1,spa_Latn,high,1.0,3.66891e-06,0.0887246,0.976989
62310,1,spa_Latn,high,1.0,4.9184e-06,0.0944788,1.06229
50297,1,spa_Latn,high,1.0,9.7558e-06,0.0920413,1.53573
79073,1,spa_Latn,high,1.0,5.73709e-06,0.0889961,1.21798
11670,1,spa_Latn,high,1.0,3.10094e-05,0.0976125,2.5817
