tensor,layer,kind,rel_err
model.layers.12.mlp.up_proj.weight,12,up_proj,0.092919
model.layers.1.self_attn.v_proj.weight,1,v_proj,0.099129
model.layers.11.self_attn.q_proj.weight,11,q_proj,0.099388
model.layers.11.self_attn.k_proj.weight,11,k_proj,0.107808
model.layers.10.mlp.gate_proj.weight,10,gate_proj,0.092799
model.layers.15.self_attn.k_proj.weight,15,k_proj,0.095157
model.layers.7.self_attn.v_proj.weight,7,v_proj,0.093108
model.layers.27.self_attn.v_proj.weight,27,v_proj,0.124498
model.layers.0.self_attn.o_proj.weight,0,o_proj,0.091786
model.layers.24.mlp.down_proj.weight,24,down_proj,0.092643
model.layers.11.mlp.up_proj.weight,11,up_proj,0.093416
model.layers.14.mlp.gate_proj.weight,14,gate_proj,0.092975
model.layers.1.mlp.down_proj.weight,1,down_proj,0.092644
model.layers.16.self_attn.q_proj.weight,16,q_proj,0.094164
model.layers.20.mlp.gate_proj.weight,20,gate_proj,0.094307
model.layers.19.mlp.gate_proj.weight,19,gate_proj,0.093407
model.layers.10.self_attn.v_proj.weight,10,v_proj,0.092894
model.layers.1.self_attn.q_proj.weight,1,q_proj,0.092863
model.layers.19.mlp.down_proj.weight,19,down_proj,0.092669
model.layers.17.self_attn.v_proj.weight,17,v_proj,0.096278
model.layers.21.self_attn.q_proj.weight,21,q_proj,0.092984
model.layers.10.self_attn.q_proj.weight,10,q_proj,0.09318
model.layers.25.mlp.down_proj.weight,25,down_proj,0.092371
model.layers.23.mlp.up_proj.weight,23,up_proj,0.093121
model.layers.12.self_attn.o_proj.weight,12,o_proj,0.091637
model.layers.3.self_attn.k_proj.weight,3,k_proj,0.097155
model.layers.13.self_attn.k_proj.weight,13,k_proj,0.095457
model.layers.10.mlp.up_proj.weight,10,up_proj,0.093203
model.layers.1.self_attn.o_proj.weight,1,o_proj,0.091718
model.layers.16.mlp.gate_proj.weight,16,gate_proj,0.095343
model.layers.10.self_attn.o_proj.weight,10,o_proj,0.09159
model.layers.0.self_attn.k_proj.weight,0,k_proj,0.092574
